"date","wave","wave.day","type","cases.stat"
2020-05-02,"Primera",62,"Cambio en spline",0.0338765504208016
2020-05-02,"Primera",62,"Índice (día 1 = 100)",12189.2307692308
2020-05-03,"Primera",63,"Casos",1980
2020-05-03,"Primera",63,"Media móvil de 7 días",2366.71428571429
2020-05-03,"Primera",63,"Spline (df=33)",2340.52927269807
2020-05-03,"Primera",63,"Cambio en spline",0.0332940950862081
2020-05-03,"Primera",63,"Índice (día 1 = 100)",12743.8461538462
2020-05-04,"Primera",64,"Casos",2513
2020-05-04,"Primera",64,"Media móvil de 7 días",2418
2020-05-04,"Primera",64,"Spline (df=33)",2417.19343926661
2020-05-04,"Primera",64,"Cambio en spline",0.0327550556460953
2020-05-04,"Primera",64,"Índice (día 1 = 100)",13020
2020-05-05,"Primera",65,"Casos",2553
2020-05-05,"Primera",65,"Media móvil de 7 días",2406.57142857143
2020-05-05,"Primera",65,"Spline (df=33)",2495.16108674696
2020-05-05,"Primera",65,"Cambio en spline",0.0322554439432909
2020-05-05,"Primera",65,"Índice (día 1 = 100)",12958.4615384615
2020-05-06,"Primera",66,"Casos",2285
2020-05-06,"Primera",66,"Media móvil de 7 días",2476.85714285714
2020-05-06,"Primera",66,"Spline (df=33)",2574.45144498398
2020-05-06,"Primera",66,"Cambio en spline",0.0317776510134608
2020-05-06,"Primera",66,"Índice (día 1 = 100)",13336.9230769231
2020-05-07,"Primera",67,"Casos",2508
2020-05-07,"Primera",67,"Media móvil de 7 días",2693.57142857143
2020-05-07,"Primera",67,"Spline (df=33)",2654.94367689841
2020-05-07,"Primera",67,"Cambio en spline",0.0312657797727203
2020-05-07,"Primera",67,"Índice (día 1 = 100)",14503.8461538462
2020-05-08,"Primera",68,"Casos",2909
2020-05-08,"Primera",68,"Media móvil de 7 días",2793.71428571429
2020-05-08,"Primera",68,"Spline (df=33)",2736.48192868
2020-05-08,"Primera",68,"Cambio en spline",0.0307118574646543
2020-05-08,"Primera",68,"Índice (día 1 = 100)",15043.0769230769
2020-05-09,"Primera",69,"Casos",2590
2020-05-09,"Primera",69,"Media móvil de 7 días",2846.42857142857
